Species,Eusocial,Semisocial,Communal,NestAggregation,Solitary,Parasitic,DataLevel,ActualText,Source,Notes
Example,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,1 = TRUE; 0 = FALSE 
Andrena angustitarsata,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,"Eusocial = all individuals share a nest, they split nest-making and reproductive responsibilities, and the mother meets her offspring"
Andrena anisochlora,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,Semisocial = use the same nest and cooperatively provide for the offspring; the mother never meet the offspring
Andrena auricoma,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,Communal =  several solitary bees sharing the same nest entrance; within the nest each bee has her own nest cell or cells that she prepares for her own egg
Andrena baeriae,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,"Nest aggregation = though each nest is built and maintained by a single bee, many nests can be found close together often with several hundred nests in the same area"
Andrena caerulea,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,Solitary = each individual female builds her own nest based on habitat characteristics rather than other bees are doing; the mother never meets her young
Andrena candida,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena chlorogaster,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena chlorura,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena duboisi,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena gnaphalii,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena hypoleuca,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena nigripes,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena nigrocaerulea,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena oenotherae,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena pallidifovea,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena perimelas,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena piperi,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena plana,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena principalis,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena prunorum,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena sola,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena suavis,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena subaustralis,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
Andrena submoesta,0,0,0,1,1,0,Genus,"Nest aggregations are not uncommon, with as few as 5 to upward of 2000 individuals nesting close together. ",The Bees In Your Backyard ,
